uuid,id,question,text
73461097-e2d7-4335-9042-43009b83df3c,KrGwf9,评分的原因,都非常好，经常入住沈阳铁西万象汇地铁站这家店！前台小姐姐们都非常热情，业务能力很棒，保洁阿姨打扫也非常认真仔细，并且亲切的让你觉得回家啦一样！基本上有什么要求都会用心尽全力全满足！
e88df609-01ec-494c-b6f6-13947675bab5,NXFgSa,评分的原因,整体一般
736f9be0-e331-40b5-8d3a-cdaf382b2efb,vIgzXn,评分的原因,装修的内饰有些陈旧了，部分房间的用具坏了
6f788b18-7e66-4fc9-8846-0017c0376690,yAQB8e,评分的原因,服务态度好，室内设施完好，洁净，安静，舒适，价格适中，交通方便。
ae936555-cefa-4636-819e-e764d3a91f7e,yINJMv,评分的原因,非常垃圾，酒店前台就是神经病。
5fae56c5-9a6b-4485-8625-a3bd3399bedd,KLeKLf,评分的原因,app希望做的更好
ab60f7f7-c13a-4fcf-8aaa-d815ef2629ca,YpcWGI,评分的原因,服务热情，附近只有这一家酒店
cf24c0c2-5236-4737-a059-a3dbf81c40ba,YcDj9x,评分的原因,一直入住挺好
6e836ed8-f6ce-4099-beff-0623df429acf,IbDUwX,评分的原因,经常外出，住房还算舒服。
3e99adfb-2744-4dde-82b5-5ede037ad562,0p3fop,评分的原因,设备有待更新
f62d1ccd-1f2d-46d8-9778-c37612625811,zTOX9j,评分的原因,主要是我app上看到便宜哈哈，位置也还可以
60de6956-9a8f-4f48-92bd-3975ad5f2849,1ZwVdD,评分的原因,交通方便，硬件还可以，但是预定有瑕疵。
526b7053-83c4-4e3b-ad45-3f0c60671d72,LIzeEE,评分的原因,挺好的
a92b9624-964d-49cb-a366-4a0a33141377,2KzbIi,评分的原因,酒店环境不错，舒适
cc4867f4-cf0a-43f8-8569-0c7c8406a791,eDPqxc,评分的原因,出差入住非常好。离地铁也很近。
09ac85a8-61f3-4a02-9690-837226067ad5,4pl1rR,评分的原因,酒店干净卫生，服务态度很好。早餐也丰富，会推荐朋友入住的。
3636d66f-cc43-414b-9a98-87ebcb8edce3,XPmD0G,评分的原因,服务非常满意
cce68435-d501-4bd5-8511-ff650e64a98a,SAC0yT,评分的原因,房间太小，服务人员很不友好！
854f4938-f86d-49fd-b8e1-ed57df0f0160,uaTIm2,评分的原因,非常满意
68847504-15be-42d8-a0d3-b6469e3c8315,v1TMhd,评分的原因,设备有点旧了
441a2120-511a-493e-800b-59c04f4e1990,6NieNC,评分的原因,管理好，矿泉水管够
192698eb-9188-4894-96f1-aac4810eade3,d3FsHd,评分的原因,酒店还不错
dca6efcf-dacb-44e6-a80e-69f5c7f61ca1,zIM128,评分的原因,服务好
04372c0f-5980-46c1-9933-110ee125ba35,FVObby,评分的原因,无
175e27a0-9b5e-4a8c-be07-eb8beb8a1735,QoblmR,评分的原因,电视信号超差，差到极致
0d767a67-6f4c-4948-a7e9-ac805ed9c333,Qqt1mE,评分的原因,前台服务较好，但是早餐点质一般。
99f4bff9-aa8b-4a8f-821f-c0292b2a36c0,xBs46Z,评分的原因,距离高速路口很近，非常满意
dde45efc-41b6-4939-8e70-c6a8ddac4637,18bf8B,评分的原因,地理位置好
c86048a1-9ca5-4063-b844-9caaeb8a04f9,IvKTZH,评分的原因,无
7605530b-375c-4780-9958-ab4cadaf0928,6tXSCU,评分的原因,没有单独的挂衣服的柜子，卫生间洗澡有点拥挤
91e09ce2-b2a0-493c-8295-274b0e0e1ac1,mx3VFA,评分的原因,前台服务人员亲切好客，乐于助人，经常主动帮着拿行李，给了我们很大的帮助，非常感谢！
7c1b1e12-7c6b-44e6-bc16-3237ae715c7f,AMTTel,评分的原因,干净整洁，环境舒适
ea0e2648-6de1-4782-ab27-8ab395403610,vD03u1,评分的原因,服务热情，冷气暴足，
7c3edadf-f85d-496c-afdc-3d443147ba39,PLAQw7,评分的原因,电梯非常差
7206cb90-b49d-491b-8176-1a9bcc00d4e8,0fLmjG,评分的原因,客房整洁，服务尽心。
5ceb9001-4ea1-4454-8ca3-626050b9ce94,z51wVb,评分的原因,很好
4b5bf512-cd1f-431a-8f8d-99f6cbbb50ca,MQwT7f,评分的原因,非常满意
9a15008c-f767-4ac7-9d11-67f4d35cad25,wVwA5N,评分的原因,房间设施及时检查，有的有点小问题
319e0add-acf8-469c-a906-4c2a21513a3f,jBZk1n,评分的原因,服务态度好，卫生干净，工作人员特别热情
045fce03-7c65-47a0-b08f-3dd0c6f9691d,M5FJyf,评分的原因,出差，离公司近，高铁方便
0cdd0f07-c73f-4777-86b1-49a111d24213,iStHdF,评分的原因,666
ac0e5018-9f1d-47e6-908a-c91abfd11eae,ybjjtU,评分的原因,态度好，房间干干净
7cc15ecc-f8c9-4483-aa2b-6348c6710706,HEdVSj,评分的原因,丽枫不错
61e3f8ed-861f-4d67-bc46-6ce8546d2876,HtAYoJ,评分的原因,对房间环境非常不满意，温度非常高，空调基本上没有任何作用，然后在退房后还不支付这个房费极度失望
2f4bfbba-41d1-49e3-90fd-896837cdd8c9,u0o4xu,评分的原因,早餐不错，房间设施有点老
11f2165d-3f10-446b-a36f-a204eaa6daf0,OWmEap,评分的原因,最主要原因价格便宜。
b7d7cb70-18d6-4eb8-a488-ddee13d34ee3,Ypc4Ez,评分的原因,价格不贵，经济实惠。服务周到。
6c0c7590-2d90-46e7-9e46-78519c3cbfa0,l8ZxvP,评分的原因,服务好 卫生干净
96cabfdf-7a6d-43dd-9f38-f82571fb0f0f,yXDvlw,评分的原因,酒店环境不错，细节上还有可提升的空间
428cd322-c288-414c-99c4-644c20eaf76e,VtZDv0,评分的原因,1
